Location,Vintage,Heating Fuel,"100% Efficiency","None",
H1C1 WA,2000s,natural gas,0.0,1.0,
H1C1 WA,2000s,propane,0.0,1.0,
H1C1 WA,2000s,fuel oil,0,0,
H1C1 WA,2000s,electricity,0.15,0.85,
H1C1 WA,2000s,other fuel,0.0,1.0,
H1C1 WA,2000s,none,0,0,
H1C1 WA,2010s,natural gas,0.0,1.0,
H1C1 WA,2010s,propane,0,0,
H1C1 WA,2010s,fuel oil,0,0,
H1C1 WA,2010s,electricity,0,0,
H1C1 WA,2010s,other fuel,0,0,
H1C1 WA,2010s,none,0,0,
H1C2,pre-1950,natural gas,0.0,1.0,
H1C2,pre-1950,propane,0,0,
H1C2,pre-1950,fuel oil,0.0,1.0,
H1C2,pre-1950,electricity,1.0,0,
H1C2,pre-1950,other fuel,0.0,1.0,
H1C2,pre-1950,none,0,0,
H1C2,1950s,natural gas,0.0,1.0,
H1C2,1950s,propane,0.0,1.0,
H1C2,1950s,fuel oil,0,0,
H1C2,1950s,electricity,0.0,1.0,
H1C2,1950s,other fuel,0,0,
H1C2,1950s,none,0,0,
H1C2,1960s,natural gas,0.0,1.0,
H1C2,1960s,propane,0,0,
H1C2,1960s,fuel oil,0.0,1.0,
H1C2,1960s,electricity,0.15385,0.84615,
H1C2,1960s,other fuel,0.0,1.0,
H1C2,1960s,none,0,0,
H1C2,1970s,natural gas,0.0,1.0,
H1C2,1970s,propane,0,0,
H1C2,1970s,fuel oil,0,0,
H1C2,1970s,electricity,0.0,1.0,
H1C2,1970s,other fuel,0.0,1.0,
H1C2,1970s,none,0,0,
H1C2,1980s,natural gas,0.0,1.0,
H1C2,1980s,propane,0,0,
H1C2,1980s,fuel oil,0,0,
H1C2,1980s,electricity,0.06667,0.93333,
H1C2,1980s,other fuel,0.0,1.0,
H1C2,1980s,none,0,0,
H1C2,1990s,natural gas,0.0,1.0,
H1C2,1990s,propane,0,0,
H1C2,1990s,fuel oil,0,0,
H1C2,1990s,electricity,0.0,1.0,
H1C2,1990s,other fuel,0.0,1.0,
H1C2,1990s,none,0.0,1.0,
H1C2,2000s,natural gas,0.0,1.0,
H1C2,2000s,propane,0,0,
H1C2,2000s,fuel oil,0,0,
H1C2,2000s,electricity,0.16667,0.83333,
H1C2,2000s,other fuel,0,0,
H1C2,2000s,none,0,0,
H1C2,2010s,natural gas,0,0,
H1C2,2010s,propane,0,0,
H1C2,2010s,fuel oil,0,0,
H1C2,2010s,electricity,0,0,
H1C2,2010s,other fuel,0,0,
H1C2,2010s,none,0,0,
H1C3,pre-1950,natural gas,0.0,1.0,
H1C3,pre-1950,propane,0,0,
H1C3,pre-1950,fuel oil,0.0,1.0,
H1C3,pre-1950,electricity,0.38462,0.61538,
H1C3,pre-1950,other fuel,0,0,
H1C3,pre-1950,none,0,0,
H1C3,1950s,natural gas,0.0,1.0,
H1C3,1950s,propane,0,0,
H1C3,1950s,fuel oil,0,0,
H1C3,1950s,electricity,0.45455,0.54545,
H1C3,1950s,other fuel,0.0,1.0,
H1C3,1950s,none,0,0,
H1C3,1960s,natural gas,0.0,1.0,
H1C3,1960s,propane,0,0,
H1C3,1960s,fuel oil,0,0,
H1C3,1960s,electricity,0.13333,0.86667,
H1C3,1960s,other fuel,0,0,
H1C3,1960s,none,0,0,
H1C3,1970s,natural gas,0.0,1.0,
H1C3,1970s,propane,0,0,
H1C3,1970s,fuel oil,0,0,
H1C3,1970s,electricity,0.07813,0.92188,
H1C3,1970s,other fuel,0.0,1.0,
H1C3,1970s,none,0.0,1.0,
H1C3,1980s,natural gas,0.0,1.0,
H1C3,1980s,propane,0,0,
H1C3,1980s,fuel oil,0,0,
H1C3,1980s,electricity,0.0,1.0,
H1C3,1980s,other fuel,0.0,1.0,
H1C3,1980s,none,0,0,
H1C3,1990s,natural gas,0.0,1.0,
H1C3,1990s,propane,0,0,
H1C3,1990s,fuel oil,0,0,
H1C3,1990s,electricity,0.1,0.9,
H1C3,1990s,other fuel,0.0,1.0,
H1C3,1990s,none,0,0,
H1C3,2000s,natural gas,0.0,1.0,
H1C3,2000s,propane,0,0,
H1C3,2000s,fuel oil,0,0,
H1C3,2000s,electricity,0.16129,0.83871,
H1C3,2000s,other fuel,0.0,1.0,
H1C3,2000s,none,0,0,
H1C3,2010s,natural gas,0,0,
H1C3,2010s,propane,0,0,
H1C3,2010s,fuel oil,0,0,
H1C3,2010s,electricity,0,0,
H1C3,2010s,other fuel,0,0,
H1C3,2010s,none,0,0,
H2,pre-1950,natural gas,0.0,1.0,
H2,pre-1950,propane,0,0,
H2,pre-1950,fuel oil,0.0,1.0,
H2,pre-1950,electricity,0.35556,0.64444,
H2,pre-1950,other fuel,0.0,1.0,
H2,pre-1950,none,0,0,
H2,1950s,natural gas,0.0,1.0,
H2,1950s,propane,0,0,
H2,1950s,fuel oil,0.0,1.0,
H2,1950s,electricity,0.58537,0.41463,
H2,1950s,other fuel,0.0,1.0,
H2,1950s,none,0,0,
H2,1960s,natural gas,0.0,1.0,
H2,1960s,propane,0,0,
H2,1960s,fuel oil,0,0,
H2,1960s,electricity,0.93333,0.06667,
H2,1960s,other fuel,0.0,1.0,
H2,1960s,none,0,0,
H2,1970s,natural gas,0.0,1.0,
H2,1970s,propane,0.0,1.0,
H2,1970s,fuel oil,0,0,
H2,1970s,electricity,0.4186,0.5814,
H2,1970s,other fuel,0.0,1.0,
H2,1970s,none,0,0,
H2,1980s,natural gas,0.0,1.0,
H2,1980s,propane,0,0,
H2,1980s,fuel oil,0.0,1.0,
H2,1980s,electricity,0.35714,0.64286,
H2,1980s,other fuel,0.0,1.0,
H2,1980s,none,0,0,
H2,1990s,natural gas,0.0,1.0,
H2,1990s,propane,0,0,
H2,1990s,fuel oil,0,0,
H2,1990s,electricity,0.13462,0.86538,
H2,1990s,other fuel,0.0,1.0,
H2,1990s,none,0.0,1.0,
H2,2000s,natural gas,0.0,1.0,
H2,2000s,propane,0.0,1.0,
H2,2000s,fuel oil,0,0,
H2,2000s,electricity,0.0,1.0,
H2,2000s,other fuel,0.0,1.0,
H2,2000s,none,0,0,
H2,2010s,natural gas,0.0,1.0,
H2,2010s,propane,0,0,
H2,2010s,fuel oil,0,0,
H2,2010s,electricity,0.0,1.0,
H2,2010s,other fuel,0,0,
H2,2010s,none,0,0,
H3,pre-1950,natural gas,0.0,1.0,
H3,pre-1950,propane,0,0,
H3,pre-1950,fuel oil,0.0,1.0,
H3,pre-1950,electricity,0.0,1.0,
H3,pre-1950,other fuel,0.0,1.0,
H3,pre-1950,none,0,0,
H3,1950s,natural gas,0.0,1.0,
H3,1950s,propane,0,0,
H3,1950s,fuel oil,0.0,1.0,
H3,1950s,electricity,0.0,1.0,
H3,1950s,other fuel,0.0,1.0,
H3,1950s,none,0,0,
H3,1960s,natural gas,0.0,1.0,
H3,1960s,propane,0.0,1.0,
H3,1960s,fuel oil,0.0,1.0,
H3,1960s,electricity,1.0,0,
H3,1960s,other fuel,0.0,1.0,
H3,1960s,none,0,0,
H3,1970s,natural gas,0.0,1.0,
H3,1970s,propane,0.0,1.0,
H3,1970s,fuel oil,0,0,
H3,1970s,electricity,0.875,0.125,
H3,1970s,other fuel,0.0,1.0,
H3,1970s,none,0,0,
H3,1980s,natural gas,0.0,1.0,
H3,1980s,propane,0.0,1.0,
H3,1980s,fuel oil,0,0,
H3,1980s,electricity,0.55556,0.44444,
H3,1980s,other fuel,0.0,1.0,
H3,1980s,none,0,0,
H3,1990s,natural gas,0.0,1.0,
H3,1990s,propane,0.0,1.0,
H3,1990s,fuel oil,0,0,
H3,1990s,electricity,0.35714,0.64286,
H3,1990s,other fuel,0.0,1.0,
H3,1990s,none,0,0,
H3,2000s,natural gas,0.0,1.0,
H3,2000s,propane,0,0,
H3,2000s,fuel oil,0.0,1.0,
H3,2000s,electricity,0.0,1.0,
H3,2000s,other fuel,0.0,1.0,
H3,2000s,none,0,0,
H3,2010s,natural gas,0.0,1.0,
H3,2010s,propane,0,0,
H3,2010s,fuel oil,0,0,
H3,2010s,electricity,0.0,1.0,
H3,2010s,other fuel,0,0,
H3,2010s,none,0,0,
