Dependency=Location Region	Dependency=Vintage	Dependency=Heating Fuel	Option=No	Option=Yes
CR02	1980s	Natural Gas	1	0
CR02	1990s	Natural Gas	1	0
CR02	2000s	Natural Gas	1	0
CR02	<1950	Natural Gas	1	0
CR05	1950s	Natural Gas	1	0
CR05	1960s	Natural Gas	1	0
CR05	1970s	Natural Gas	1	0
CR05	1980s	Natural Gas	1	0
CR05	1990s	Natural Gas	1	0
CR05	2000s	Natural Gas	1	0
CR05	<1950	Natural Gas	1	0
CR03	1950s	Natural Gas	1	0
CR03	1960s	Natural Gas	1	0
CR03	1970s	Natural Gas	1	0
CR03	1980s	Natural Gas	1	0
CR03	1990s	Natural Gas	1	0
CR03	2000s	Natural Gas	1	0
CR03	<1950	Natural Gas	1	0
CR04	1950s	Natural Gas	1	0
CR04	1960s	Natural Gas	1	0
CR04	1970s	Natural Gas	1	0
CR04	1980s	Natural Gas	1	0
CR04	1990s	Natural Gas	1	0
CR04	2000s	Natural Gas	1	0
CR04	<1950	Natural Gas	1	0
CR06	1950s	Natural Gas	1	0
CR06	1960s	Natural Gas	1	0
CR06	1970s	Natural Gas	1	0
CR06	1980s	Natural Gas	1	0
CR06	1990s	Natural Gas	1	0
CR06	2000s	Natural Gas	1	0
CR06	<1950	Natural Gas	1	0
CR07	1950s	Natural Gas	1	0
CR07	1960s	Natural Gas	1	0
CR07	1970s	Natural Gas	1	0
CR07	1980s	Natural Gas	1	0
CR07	1990s	Natural Gas	1	0
CR07	2000s	Natural Gas	1	0
CR07	<1950	Natural Gas	1	0
CR08	1950s	Natural Gas	1	0
CR08	1960s	Natural Gas	1	0
CR08	1970s	Natural Gas	1	0
CR08	1980s	Natural Gas	1	0
CR08	1990s	Natural Gas	1	0
CR08	2000s	Natural Gas	1	0
CR08	<1950	Natural Gas	1	0
CR09	1950s	Natural Gas	1	0
CR09	1960s	Natural Gas	1	0
CR09	1970s	Natural Gas	1	0
CR09	1980s	Natural Gas	1	0
CR09	1990s	Natural Gas	1	0
CR09	2000s	Natural Gas	1	0
CR09	<1950	Natural Gas	1	0
CR10	1950s	Natural Gas	1	0
CR10	1960s	Natural Gas	1	0
CR10	1970s	Natural Gas	1	0
CR10	1980s	Natural Gas	1	0
CR10	1990s	Natural Gas	1	0
CR10	2000s	Natural Gas	1	0
CR10	<1950	Natural Gas	1	0
CR11	1950s	Natural Gas	1	0
CR11	1960s	Natural Gas	1	0
CR11	1970s	Natural Gas	1	0
CR11	1980s	Natural Gas	1	0
CR11	1990s	Natural Gas	1	0
CR11	2000s	Natural Gas	1	0
CR11	<1950	Natural Gas	1	0
CR02	1950s	None	1	0
CR02	1960s	None	1	0
CR02	1970s	None	1	0
CR02	1980s	None	1	0
CR02	1990s	None	1	0
CR02	2000s	None	1	0
CR02	<1950	None	1	0
CR05	1950s	None	1	0
CR05	1960s	None	1	0
CR05	1970s	None	1	0
CR05	1980s	None	1	0
CR05	1990s	None	1	0
CR05	2000s	None	1	0
CR05	<1950	None	1	0
CR03	1950s	None	1	0
CR03	1960s	None	1	0
CR03	1970s	None	1	0
CR03	1980s	None	1	0
CR03	1990s	None	1	0
CR03	2000s	None	1	0
CR03	<1950	None	1	0
CR04	1950s	None	1	0
CR04	1960s	None	1	0
CR04	1970s	None	1	0
CR04	1980s	None	1	0
CR04	1990s	None	1	0
CR04	2000s	None	1	0
CR04	<1950	None	1	0
CR06	1950s	None	1	0
CR06	1960s	None	1	0
CR06	1970s	None	1	0
CR06	1980s	None	1	0
CR06	1990s	None	1	0
CR06	2000s	None	1	0
CR06	<1950	None	1	0
CR07	1950s	None	1	0
CR07	1960s	None	1	0
CR07	1970s	None	1	0
CR07	1980s	None	1	0
CR07	1990s	None	1	0
CR07	2000s	None	1	0
CR07	<1950	None	1	0
CR08	1950s	None	1	0
CR08	1960s	None	1	0
CR08	1970s	None	1	0
CR08	1980s	None	1	0
CR08	1990s	None	1	0
CR08	2000s	None	1	0
CR08	<1950	None	1	0
CR09	1950s	None	1	0
CR09	1960s	None	1	0
CR09	1970s	None	1	0
CR09	1980s	None	1	0
CR09	1990s	None	1	0
CR09	2000s	None	1	0
CR09	<1950	None	1	0
CR10	1950s	None	1	0
CR10	1960s	None	1	0
CR10	1970s	None	1	0
CR10	1980s	None	1	0
CR10	1990s	None	1	0
CR10	2000s	None	1	0
CR10	<1950	None	1	0
CR11	1950s	None	1	0
CR11	1960s	None	1	0
CR11	1970s	None	1	0
CR11	1980s	None	1	0
CR11	1990s	None	1	0
CR11	2000s	None	1	0
CR11	<1950	None	1	0
CR02	1950s	Other Fuel	1	0
CR02	1960s	Other Fuel	1	0
CR02	1970s	Other Fuel	1	0
CR02	1980s	Other Fuel	1	0
CR02	1990s	Other Fuel	1	0
CR02	2000s	Other Fuel	1	0
CR02	<1950	Other Fuel	1	0
CR05	1950s	Other Fuel	1	0
CR05	1960s	Other Fuel	1	0
CR05	1970s	Other Fuel	1	0
CR05	1980s	Other Fuel	1	0
CR05	1990s	Other Fuel	1	0
CR05	2000s	Other Fuel	1	0
CR05	<1950	Other Fuel	1	0
CR03	1950s	Other Fuel	1	0
CR03	1960s	Other Fuel	1	0
CR03	1970s	Other Fuel	1	0
CR03	1980s	Other Fuel	1	0
CR03	1990s	Other Fuel	1	0
CR03	2000s	Other Fuel	1	0
CR03	<1950	Other Fuel	1	0
CR04	1950s	Other Fuel	1	0
CR04	1960s	Other Fuel	1	0
CR04	1970s	Other Fuel	1	0
CR04	1980s	Other Fuel	1	0
CR04	1990s	Other Fuel	1	0
CR04	2000s	Other Fuel	1	0
CR04	<1950	Other Fuel	1	0
CR06	1950s	Other Fuel	1	0
CR06	1960s	Other Fuel	1	0
CR06	1970s	Other Fuel	1	0
CR06	1980s	Other Fuel	1	0
CR06	1990s	Other Fuel	1	0
CR06	2000s	Other Fuel	1	0
CR06	<1950	Other Fuel	1	0
CR07	1950s	Other Fuel	1	0
CR07	1960s	Other Fuel	1	0
CR07	1970s	Other Fuel	1	0
CR07	1980s	Other Fuel	1	0
CR07	1990s	Other Fuel	1	0
CR07	2000s	Other Fuel	1	0
CR07	<1950	Other Fuel	1	0
CR08	1950s	Other Fuel	1	0
CR08	1960s	Other Fuel	1	0
CR08	1970s	Other Fuel	1	0
CR08	1980s	Other Fuel	1	0
CR08	1990s	Other Fuel	1	0
CR08	2000s	Other Fuel	1	0
CR08	<1950	Other Fuel	1	0
CR09	1950s	Other Fuel	1	0
CR09	1960s	Other Fuel	1	0
CR09	1970s	Other Fuel	1	0
CR09	1980s	Other Fuel	1	0
CR09	1990s	Other Fuel	1	0
CR09	2000s	Other Fuel	1	0
CR09	<1950	Other Fuel	1	0
CR10	1950s	Other Fuel	1	0
CR10	1960s	Other Fuel	1	0
CR10	1970s	Other Fuel	1	0
CR10	1980s	Other Fuel	1	0
CR10	1990s	Other Fuel	1	0
CR10	2000s	Other Fuel	1	0
CR10	<1950	Other Fuel	1	0
CR11	1950s	Other Fuel	1	0
CR11	1960s	Other Fuel	1	0
CR11	1970s	Other Fuel	1	0
CR11	1980s	Other Fuel	1	0
CR11	1990s	Other Fuel	1	0
CR11	2000s	Other Fuel	1	0
CR11	<1950	Other Fuel	1	0
CR02	1950s	Propane	1	0
CR02	1960s	Propane	1	0
CR02	1970s	Propane	1	0
CR02	1980s	Propane	1	0
CR02	1990s	Propane	1	0
CR02	2000s	Propane	1	0
CR02	<1950	Propane	1	0
CR05	1950s	Propane	1	0
CR05	1960s	Propane	1	0
CR05	1970s	Propane	1	0
CR05	1980s	Propane	1	0
CR05	1990s	Propane	1	0
CR05	2000s	Propane	1	0
CR05	<1950	Propane	1	0
CR03	1950s	Propane	1	0
CR03	1960s	Propane	1	0
CR03	1970s	Propane	1	0
CR03	1980s	Propane	1	0
CR03	1990s	Propane	1	0
CR03	2000s	Propane	1	0
CR03	<1950	Propane	1	0
CR04	1950s	Propane	1	0
CR04	1960s	Propane	1	0
CR04	1970s	Propane	1	0
CR04	1980s	Propane	1	0
CR04	1990s	Propane	1	0
CR04	2000s	Propane	1	0
CR04	<1950	Propane	1	0
CR06	1950s	Propane	1	0
CR06	1960s	Propane	1	0
CR06	1970s	Propane	1	0
CR06	1980s	Propane	1	0
CR06	1990s	Propane	1	0
CR06	2000s	Propane	1	0
CR06	<1950	Propane	1	0
CR07	1950s	Propane	1	0
CR07	1960s	Propane	1	0
CR07	1970s	Propane	1	0
CR07	1980s	Propane	1	0
CR07	1990s	Propane	1	0
CR07	2000s	Propane	1	0
CR07	<1950	Propane	1	0
CR08	1950s	Propane	1	0
CR08	1960s	Propane	1	0
CR08	1970s	Propane	1	0
CR08	1980s	Propane	1	0
CR08	1990s	Propane	1	0
CR08	2000s	Propane	1	0
CR08	<1950	Propane	1	0
CR09	1950s	Propane	1	0
CR09	1960s	Propane	1	0
CR09	1970s	Propane	1	0
CR09	1980s	Propane	1	0
CR09	1990s	Propane	1	0
CR09	2000s	Propane	1	0
CR09	<1950	Propane	1	0
CR10	1950s	Propane	1	0
CR10	1960s	Propane	1	0
CR10	1970s	Propane	1	0
CR10	1980s	Propane	1	0
CR10	1990s	Propane	1	0
CR10	2000s	Propane	1	0
CR10	<1950	Propane	1	0
CR11	1950s	Propane	1	0
CR11	1960s	Propane	1	0
CR11	1970s	Propane	1	0
CR11	1980s	Propane	1	0
CR11	1990s	Propane	1	0
CR11	2000s	Propane	1	0
CR11	<1950	Propane	1	0
